Product Name,Price,Our Price + 15%,Status,Category,Sub Category,SKU
Vivi Nova Tank Clearomizer 2.0ml,,3.99,Enable,Accessories,Clearomizer Parts,Vivi Nova Tank Clearomizer 2.0ml
Vivi Nova Tank Clearomizer 8.0ml,,3.99,Enable,Tanks & Coils,Clearomizer,ViVi Nova
Ego Electronic Cigarette Car Charger,,2.99,Enable,Accessories,Charger,Ego Electronic Cigarette Car Charger
eGo-K (King) Laser Etched Battery 1100mAh,,10.99,Enable,Devices,Constant Voltage Mods & eGo Batteries,Ego K 
CE4 Light Up Led Atomizer,1.99,2.99,New,Tanks & Coils,Rebuildable Atomizers,CE4 Light
Ego Ce4 Single Starter Kit In Case,,,,,,
Ego | Ego-T | Ego-C LCD 650mah and 1100Mah,,10.99,Enabled,Accessories,IMR Batteries & Battery Cases,Ego
Ego Ce4 Dual starting kit 650MAH,13.5,15.99,New,,,Ego Ce4 Dual starting kit 650MAH
Ego Ce4 Single Kit With Liquid In DisPlay Box,12.5,14.99,New,,,Single Display
Variable Voltage EGO VV EGO-U 900mah battery,10.95,12.99,New,Devices,Variable Voltage/Wattage eGo Batteries,EGO-U 900mah
Ego Travel Case | Ego T Case Small Size,,3.99,Enabled,Accessories,Tools,Ego Case
eGo / eGo-T USB Passthrough Manual Battery 650mAh / 1100mAh,,8.99,Enable,Devices,Constant Voltage Mods & eGo Batteries,Ego Pass
The X6 1300mAh Variable Voltage Mod APV Starter Kit,,17.99,Enabled,Devices,Variable Voltage/Wattage Mods,X6 1300mAh
Ego-V MOD Variable Voltage Battery 650mAh,,22.99,Enable,Devices,Variable Voltage/Wattage eGo Batteries,Ego V
Vivi Nova 3.5 And DCT 6.0 Adapter Connector,,1.99,Enabled,Accessories,Chargers,Vivi Nova 3.5 / DCT 6.0 Connector
Necklace For Ego | Ego T Ego-C,,1.99,Enabled,Accessories,Tools,Necklace For Ego | Ego T Ego-C
Vivi Nova 2.0 Adapter Connector,,1.99,Enabled,Accessories,Chargers,Vivi Nova 2.0 Adapter
CE4 Plus Ego Clearomizer Tankomizer,,1.99,Enabled,Tanks & Coils,Clearomizers,CE4 Plus
WaxVapor Essential Oil Atomizer,7.45,8.99,New,Tanks & Coils,Rebuildable Atomizers,WaxVapor
Ego Twist Variable Voltage Battery 3.2V-4.8V,,14.99,Enabled,Devices,Variable Voltage/Wattage eGo Batteries,c-Twist
EGO VV Variable Voltage EGO-V 650mah battery,,10.99,Enabled,Devices,Variable Voltage/Wattage eGo Batteries,Ego VV
Ego Travel Case | Ego T Case Medium Size,,4.99,Enabled,Accessories,Tools,Ego Travel Case 
Ego Ce4 Dual starting kit 1100 MAH,13.75,15.99,New,,,Ego Ce4 Dual starting kit 1100 MAH
Vivi Nova Tank Clearomizer 3.5ml,,3.99,Enabled,Tanks & Coils,Clearomizers,ViVi Nova Tank
Horizon Trojan Pyrex 2.0ml Adjustable Airflow Tank System,10.75,12.99,New,Tanks & Coils,Cartomizer Tanks,Horizon Spartan
Ego Ce4 Single Edition Starter Kit,9.5,10.99,New,,,Singel UnoVapor
Horizon Spartan Pyrex 3.0ml Adjustable Airflow Tank System,13.99,,Enabled,,,Horizon Spartan 3.0ml
UnoVapor 3 in 1 Kit Wax Herb Oil,13.95,15.99,New,,,UnoVapor 3 in 1 Kit
Small Ce4 Tester Board Wood / Acrylic Custom Made Plus 300pcs Tester Cup,,155.99,Enabled,Accessories,Tools,Small Tester Acrylic
1300MAH UV Twist Variable Voltage Battery 3.2V-4.8V,,13.99,Enable,Devices,Variable Voltage/Wattage eGo Batteries,UV 1300c-Twist
Ego / 510 DCT Tank System (6mL) Atomizer,,3.99,Enable,Tanks & Coils,Rebuildable Atomizers,Dct6ML
UnoVapor Protank Twist Kit 1300mAh In 5 Colors,12.95,14.99,New,,,PTTwist Kit 1300mAh
Efest IMR 26650-3500mAh 3.7V LiMn battery for big mods,,13.99,Enabled,Accessories,IMR Batteries & Battery Cases,Efest IMR 26650-3500mAh
Efest IMR 18650 3.7V LI-MN 20A 3100mAh High Drain,,10.99,Enabled,Accessories,IMR Batteries & Battery Cases,Efest 3100 mAh 20A
Efest Xsmart 3.7V Smart Single Charger,6.95,7.99,New,Accessories,Chargers,Efest Xsmart
Sony VTC5 30A 2600mah 18650 Battery,11.95,13.99,New,Accessories,IMR Batteries & Battery Cases,Sony VTC5
Efest IMR 185000A 3.7V 1100mah High Drain Rechargeable Battery,,7.99,Enabled,Accessories,IMR Batteries & Battery Cases,Efest 1100Mah 18500
Efest 18650 2800mAH 35A Battery With 80Amps Pulse,7.95,9.99,New,Accessories,IMR Batteries & Battery Cases,Efest 2800mAH 35A
eFest LUC Multi-function Smart Charger with MIni LCD Screen,,26.99,Enabled,Accessories,Chargers,eFest LUC
LG HE4 35A 2500mAh 18650 Battery,5.95,6.99,New,Accessories,Chargers,LG HE4 35A 2500 YELOLW
Efest IMR 18650 2000mAh Flat Top 3.7V Rechargeable LiMn Battery,,7.99,Enabled,Devices,Constant Voltage Mods & eGo Batteries,Efest
Efest LCD LUC S2 2Bay Charger,25.95,29.99,New,Accessories,Chargers,Efest LUC S2 
eFest LUC V4 Multi-function Smart Charger with LCD Screen,,31.99,Enabled,Accessories,Chargers,eFest LUC V4
Efest SODA Charger,,12.99,Enabled,Accessories,Chargers,Efest Soda CH
Efest BIO V2 Intelligent Charger,,22.99,Enabled,Accessories,Chargers,Efest BIO V2 CH
Efest IMR 18650 Flat Top Battery 2100 mAh 30A,7.95,9.99,New,Accessories,IMR Batteries & Battery Cases,Efest 2100 mAh 30A
Samsung INR18650-25R 2500mAh 35Amps,7.95,9.99,New,Accessories,IMR Batteries & Battery Cases,Samsung 35Amps
eFest 18350 700mAh 10.5ABattery,,6.99,Enabled,Accessories,IMR Batteries & Battery Cases,eFest 18350 700mAh 10.5ABattery
Efest Green 26650 4200mAH F battery 50Amps,7.95,9.99,New,Accessories,IMR Batteries & Battery Cases,Efest Green 26650
Efest IMR 18650 3.7V LI-MN 20A 3100mAh High Drain,,10.99,Enabled,Accessories,IMR Batteries & Battery Cases,Efest 3100 mAh 20A
LG HE2 2500MAH HIGH DRAIN 30A 18650 LI-ON BATTERY,,7.99,Enabled,Accessories,IMR Batteries & Battery Cases,LG 2500 30A
Efest IMR 26650-3500mAh 3.7V LiMn battery for big mods,,13.99,Enabled,Accessories,IMR Batteries & Battery Cases,Efest IMR 26650-3500mAh
Efest 18650 30 AMP High Drain Rechargeable Battery IMR18650 3.7V LI-MN 1600mah,,6.99,Enabled,Accessories,IMR Batteries & Battery Cases,Efest 1600Mah 30 AMP
Efest 18350 900mAh 3.7V Protected,,6.99,Enabled,Accessories,IMR Batteries & Battery Cases,EFEST/18350
Efest 3400mAh Protected Li-ion 3.7v Rechargeable battery,,13.99,Enabled,Devices,Constant Voltage Mods & eGo Batteries,Efest 3400mAh
SONY VTC4 18650 2100mAh Battery Flat Top 30A,9.95,11.99,Enabled,Accessories,IMR Batteries & Battery Cases,Sony VTC4
Fruit By The Drop,,11.99,Enabled,E-Liquids,TVS-Premium Flavours,Fruit By The Drop
Sigelei Elite II Coils 5 Packs,,16.99,Enabled,,,Sigelei Elite II Coils 5 Packs
Sigelei The Legend gravity sensor Mod Full Kit,,39.99,Enabled,Devices,Mechanical Mods,Sigelei Legend
Sigelei 150W TC Temp Control Mod,,89.99,Enabled,Devices,Mechanical Mods,Sigelei 150W
Sigelei 100W Box Mod Vaporizer,,72.99,Disabled,Devices,Variable Voltage/Wattage Mods,Sigelei 100W
Sigelei 100W PLUS 100 Watt Box Mod Dual 18650 Black Gold,,87.99,Enabled,Devices,Variable Voltage/Wattage Mods,Sigelei 100W Pluse
Sigelei 150w Box Mod Variable Wattage,,74.99,Disabled,Devices,Variable Voltage/Wattage Mods,Sigelei 150W
VAMO V2 Starter Kit Detachable VV and VW Mod,,40.99,Disabled,Devices,Variable Voltage/Wattage Mods,vamo
Sigelei Mini 30W Box Mod,,32.99,Enabled,Devices,Variable Voltage/Wattage Mods,Sigelei Mini 30W
The Sigelei 150W Plus 2015 New Design Limited Supply,,86.99,Enabled,Devices,Variable Voltage/Wattage Mods,150W Plus
Sigelei 50W VR2 50 Watt Box Mod 18650,,51.99,Disabled,Devices,Variable Voltage/Wattage Mods,Sigelei 50W VR2
Sigelei Zmax V5 AVP Telescope Flat Top Kit Variable Volt/Watt,,55.99,Enabled,Devices,Variable Voltage/Wattage Mods,Sigelei ZMAX V5
Sigelei 75W Watt Box Mod Temperature Control,,53.99,Enabled,Devices,Variable Voltage/Wattage Mods,Sigelei 75W
Sigelei Elite II Sub Ohm Tank,,16.99,Enabled,,,Sigeleli Elite V2
Sigelei Mini Zmax VV/VW Mod Full Kit,,43.99,Enabled,Devices,Variable Voltage/Wattage Mods,Sigelei Mini Zmax
Sigelei Zmax V3 Telescope Flat Top Kit Variable Volt/Watt AVP,,55.99,Enabled,Devices,Variable Voltage/Wattage Mods,Sigelei ZMAX V3
Sigelei Bagua 18650 Telescope Mechanical Mod,,20.99,Enabled,Devices,Mechanical Mods,Sigelei Bagua 
Sigelei 8w with 18650 vMechanical Mod,,28.99,Enabled,Devices,Mechanical Mods,Sigelei 8w
Sigelei Battery 18350 900 Mah 3.7,,5.99,Enabled,Accessories,IMR Batteries & Battery Cases,Sigelei 18350
Sigelei Battery 18650 2200mah 3.7v,,5.99,Enabled,Accessories,IMR Batteries & Battery Cases,5.75
Ego Silicone Sucker 60Pcs In A Bag 10 Per Color,,27.99,Enabled,Accessories,Tools,Silicone Sucker
Small Ce4 Tester Board Wood / Acrylic Custom Made Plus 300pcs Tester Cup,,155.99,Enabled,Accessories,Tools,Small Tester Acrylic
Complete Kit E-Cigarette Flags,89.95,103.99,New,,,Flags Sing
Case Of 12 Disposable eCigar1800 Puffs With Soft Filter,96,110.99,New,,,1800 Puffs Disposable eCigar 
Ce4 Tester Board Wood / Acrylic Custom Made Plus 300pcs Tester Cup,,168.99,Enabled,Accessories,Tools,Tester Acrylic
E-Cigarette Acryclic Display Stand Hold 2 Cigs Or Mod (Horizontal),24.95,28.99,New,,,Clear 6 cig Display Vertical
Innokin Itaste Stand Acryclic Display Stand Hold Mod,11.95,13.99,New,Accessories,Tools,Mod Single Display 
Small Clear Eliquid Display Stand 5-tier Rack Organizer,39.95,45.99,New,Accessories,Tools,Small Eliquid Display
E-Cigarette Acryclic Display Stand Hold 6 Cigs (Horizontal),19,21.99,New,Accessories,Tools,cig Display Horizontal
E-Cigarette Acryclic Display Stand Hold 6 Cigs (Vertical),23.95,27.99,New,Accessories,Tools,6 cig Display Vertical
MOD Acryclic Display Stand Hold 1 Ecigarette,7.95,9.99,New,Accessories,Tools,Clear 1 cig Display
"24"" x 17.5"" Clear Acrylic Eliquids Wall Display",74,85.99,New,Accessories,Tools,Wall Display
Vision Spinner 2 1600 mAh,,23.99,Enable,Devices,Variable Voltage/Wattage Mods,Vision Spinner 2
Vision Spinner VV eGo Battery 1300mAh,,18.99,Enable,Devices,Variable Voltage/Wattage eGo Batteries,Vision Spinner 1300
Vision Spinner VV eGo Battery 1100mAh,,17.99,Enable,Devices,Variable Voltage/Wattage eGo Batteries,Vision Spinner 1100
Vision Mini Spinner II 5 Colors 850mAh,18.95,21.99,New,Devices,Variable Voltage/Wattage Mods,Vision Spinner 2 Mini
Horizon Trojan Pyrex 2.0ml Adjustable Airflow Tank System,10.75,12.99,New,Tanks & Coils,Cartomizer Tanks,Horizon Spartan
Horizon Dual Hade Coils For H5 Spartan And Trojan 5 Pack,7.95,9.99,New,,,Horizon Coils 5 Pack
Horizon Worrior Dual Coil AirFlow Pyrex Atomizer,,8.99,Enable,Tanks & Coils,Rebuildable Atomizers,Horizon Worrior
Horizon Scion Quad Coil 0.8 Ohms AirFlow Pyrex Tank,14.95,17.99,New,,,Horizon Scion Quad
Horizon Worrior Dual Coil 2.0 Ohms 5 Pack,7.95,9.99,New,,,Worrior 2.0 Ohms 5 Pack
H5 Bottom Dual Coil,2.25,2.99,New,,,H5 Dual Coil
Horizon Arctic V2 BTDC Pure Nickel 200 / 0.2 / 0.5 ohm Sub Ohm Tank,,20.99,Enable,,,Arctic BTDC
Horizon Arctic V2 BTDC Head Coil ohm BTDC Dual Coils Pure Nickel 200 0.2 0.5 Ohm,,13.99,Enable,,,Arctic Head Coil 5 Pack
Horizon Spartan Pyrex 3.0ml Adjustable Airflow Tank System,12,13.99,New,,,Horizon Spartan
