Product Name,Cost,TheVapeStore Our Price + 15%,Status,Category,Sub Category,SKU
Efest Green 26650 4200mAH F battery 50Amps,7.95,9.99,New,Accessories,IMR Batteries & Battery Cases,Efest Green 26650
Efest IMR 18650 Flat Top Battery 2100 mAh 30A,7.95,9.99,New,Accessories,IMR Batteries & Battery Cases,Efest 2100 mAh 30A
Efest LCD LUC S2 2Bay Charger,25.95,29.99,New,Accessories,Chargers,Efest LUC S2 
Efest Xsmart 3.7V Smart Single Charger,6.95,7.99,New,Accessories,Chargers,Efest Xsmart
Ego 510 E-Cigarette starting kit,22,25.99,New,Tanks & Coils,Rebuildable Atomizers,Ego510
Ego C 650 Or 1100mAh E-Cigarette,28,32.99,New,Tanks & Coils,rebuildable Atomizers,Ego t 510
Ego Cartridges,2,2.99,New,,,Ego Cartridges
Ego Ce4 Dual starting kit 1100 MAH,13.75,15.99,New,,,Ego Ce4 Dual starting kit 1100 MAH
Ego Ce4 Dual starting kit 650MAH,13.5,15.99,New,,,Ego Ce4 Dual starting kit 650MAH
Ego Ce4 Single Edition Starter Kit,9.5,10.99,New,,,Singel UnoVapor
Ego Ce4 Single Kit With Liquid In DisPlay Box,12.5,14.99,New,,,Single Display
Ego-T / EgoC System Cartridges,3.25,3.99,New,,,Ego-T Cartridges
Emerald,6,6.99,,,,GemStone Juice Emerald
Eternity Turbo Fire Herbal Vaporizer,25.95,28.99,New,Dry Devices,Vaporizers,Eternity Turbo Fire
Freakshow Mini RDA By Eternity,10.95,12.99,New,Tanks & Coils,Rebuildable Atomizers,Freakshow Mini
Freakshow RDA Rebuildable Atomizer By Eternity,10.25,11.99,New,Tanks & Coils,Rebuildable Atomizers,Freakshow RDA
Fruit By The Drop,10,11.99,,,,Fruit By The Drop
Fusion,6,6.99,,,,Classified Fusion E-liquid
H5 Bottom Dual Coil,2.25,2.99,New,,,H5 Dual Coil
Head Bangin Boogie,6,6.99,,,,Head Bangin Boogie
Horizon Dual Hade Coils For H5 Spartan And Trojan 5 Pack,7.95,9.99,New,,,Horizon Coils 5 Pack
Horizon Scion Quad Coil 0.8 Ohms AirFlow Pyrex Tank,14.95,17.99,New,,,Horizon Scion Quad
Horizon Spartan Pyrex 3.0ml Adjustable Airflow Tank System,12,13.99,New,,,Horizon Spartan
Horizon Trojan Pyrex 2.0ml Adjustable Airflow Tank System,10.75,12.99,New,Tanks & Coils,Cartomizer Tanks,Horizon Spartan
Horizon Trojan Pyrex 2.0ml Adjustable Airflow Tank System,10.75,12.99,New,Tanks & Coils,Cartomizer Tanks,Horizon Spartan
Horizon Worrior Dual Coil 2.0 Ohms 5 Pack,7.95,9.99,New,,,Worrior 2.0 Ohms 5 Pack
Indulge,6,6.99,,,,Classified Indulge E-Liquid
Innokin Cool Fire I Mod Starter Kit,27.95,32.99,New,Devices,variable Voltage/Wattage Mods,Innokin Cool Fire I
Innokin Gladius Adjustable Airflow Dual Coil Clearomizer,15.5,17.99,New,Tanks & Coils,Clearomizers,Innokin Gladius
Innokin Gladius Dual Coil Heads 5 Pack,6.95,7.99,New,Tanks & Coils,Clearomizer Replacement Coils,Gladius Dual Coil
Innokin iClear 16D & 16B Hade coils 5 Pack,9.95,11.99,New,Tanks & Coils,Clearomizer Replacement Coils,iClear 16D 16B
Innokin iClear 30 Dual Coil Clearomizer,8.95,10.99,New,Tanks & Coils,Clearomizers,Innokin iClear 30
Innokin Iclear 30s Replacement Atomizer 5 Pack,9.25,10.99,New,Tanks & Coils,Rebuildable Atomizers,Iclear 30s 5Pack
Innokin iTaste CLK Variable Voltage Pass-Thru Mod,22.95,26.99,New,Devices,Variable Voltage/Wattage Mods,iTaste CLK
Innokin iTaste EP Starter Kit with iClear10 Clearomizers,14.95,17.99,New,Tanks & Coils,Clearomizers,iTaste EP
Innokin Itaste Stand Acryclic Display Stand Hold Mod,11.95,13.99,New,Accessories,Tools,Mod Single Display 
IPV3 LI 165W Box Mod Temperature Control,69.95,80.99,New,Devices,Variable Voltage/Wattage Mods,IPV3 LI
Jaws,5.75,6.99,,,,Jaws
Joye 510 Cartomizers,5.95,6.99,New,Tanks & Coils,Cartomizer Tanks,Joye 510 Cartomizers
Joye 510 Cartridges,3,3.99,New,,,Joye 510 Cartridges
Joye 510 E-Cigarette starting kit,15,17.99,New,Tanks & Coils,Rebuildable Atomizers,Joye 510
Joye eGo ONE Starter Kit 1100mAh 1.8ML Atomizer,32.95,37.99,New,Tanks & Coils,Rebuildable Atomizers,eGo ONE 1100mAh
Joye eGo ONE Starter Kit 2200mAh 2.5ML Atomizer,33.95,39.99,New,Tanks & Coils,Rebuildable Atomizers,eGo ONE 2200mAh
Joyetech Delta 2 Atomizer,15.95,18.99,New,Tanks & Coils,Rebuildable Atomizers,Joyetech Delta 2
Joyetech Delta II LVC Sub-Ohm Replacement Coil (Pack of 5),14.95,17.99,New,,,Delta II Coils
Joyetech eGo ONE Atomizer Head Coils (5-pack),11.95,13.99,New,Tanks & Coils,Rebuildable Atomizers,eGo ONE Coils
Juice Black & Blue,6,6.99,,,,Juice Black & Blue
Juice Indian Giver,6,6.99,,,,Juice Indian Giver
Juice Lola,6,6.99,,,,Juice Lola
Kanger Aerotank Giant with Airflow Control,12.95,14.99,New,Devices,Mechnical Mods,Kanger giant
Kanger Aerotank Mini with Airflow Control,16.95,19.99,New,Devices,Mechnical Mods,Kanger Aerotank Mini
Kanger Aerotank Turbo Quad Coil Tank with Airflow Control,15.5,17.99,New,,,Aerotank Turbo
Kanger Aerotank v2 with Airflow Control,16.45,18.99,New,Devices,Mechnical Mods,Aerotank V2
Kanger eVod 2 BDC Bottom Dual Coil,3.89,4.99,New,Tanks & Coils,Clearomizers,Kanger eVod 2
Kanger EVOD Starter kit with BCC,23.95,27.99,New,Tanks & Coils,Clearomizers,Kanger EVOD Kit 650MAH
Kanger IPOW 2 1600mah Variable Wattage 3W-15W,17.95,20.99,New,,,IPOW 2 1600mah
Kanger SUBTANK Replacement Coils 5-pack,11.95,13.99,New,,,SUBTANK Coils 5-pack
Kanger T2 Clearomizer Long wicks,3.25,3.99,New,Tanks & Coils,Clearomizers,Kanger T2
Kanger T3'D BDC Bottom Dual Coil,3.89,4.99,New,Tanks & Coils,Clearomizers,Kanger T3'D
Kanger UniTank Uni Protank From KangerTech In 5 Colors,6.9,7.99,New,Tanks & Coils,Clearomizers,Kanger UniTank Uni Protank
Kanger VOCC Coils Japanese Cotton,7.95,9.99,New,,,Kanger VOCC Coils
KangerTech EMOW Starter Kit with airflow adjustable EMOW Clearomizer,38.25,43.99,New,,,EMOW Starter Kit
Kangertech Nickel Subtank OCC 0.15ohm Coil,10.95,12.99,New,,,Kangertech NI200
Kangertech Subtank Hybrid Tank,31.95,36.99,New,,,Kangertech Subtank
Kangertech Subtank Mini 4.5ml Tank,23.99,27.99,New,Tanks & Coils,Clearomizers,Kangertech Subtank Mini
KangerTech Upgraded Dual Coils (5pack) for Kanger Tanks,6.95,7.99,New,,,Kanger Coil V2
Keen,6,6.99,,,,Classified Keen E-liquid
Kraken,11,12.99,,,,Kraken
LG HE4 35A 2500mAh 18650 Battery,5.95,6.99,New,Accessories,Chargers,LG HE4 35A 2500 YELOLW
Little Boy Carbon Fiber Series Clone By Eternity,10.85,12.99,New,,,Little Boy CF
Mad Hatter RDA Clone By Eternity Mods,13.75,15.99,New,Tanks & Coils,Rebuildable Atomizers,Mad Hatter Clone
Moby,11,12.99,,,,Moby
MOD Acryclic Display Stand Hold 1 Ecigarette,7.95,9.99,New,Accessories,Tools,Clear 1 cig Display
Mutiny,5.75,6.99,,,,Mutiny
N22 RDA Clone By Eternity Mods,6.99,7.99,New,Tanks & Coils,Rebuildable Atomizers,N22 RDA Clone By Eternity Mods
New Aspire Mini Nautilus Adjustable Airflow Tank System,16.99,19.99,New,,,Aspire Mini Nautilus
New Atlantis / Atlantis 2.0 Sub-ohm tank coil 0.5- 0.3 & 1.0 ohm (5 Pack),10.99,12.99,New,Tanks & Coils,Clearomizer Replacement Coils ,Atlantis 2.0 (5 Pack)
New Innokin iTaste CLK1280 Express Kit,22.95,26.99,New,Devices,Variable Voltage/Wattage eGo Batteries (26),CLK1280 Express
"New Tesla Sidewinder II S2 (3-6v) 2000mAh The First SUB OHM VV Variable Voltage ""Twist"" Battery",16.45,18.99,New,Devices,Variable Voltage/Wattage eGo Batteries,Tesla Sidewinder II 2000mAh
Nitecore Charger Battery Charger Nitecore UM20,13.95,15.99,New,Accessories,Chargers,Nitecore UM20
Nitecore D2 Universal Charger,16.95,19.99,New,Accessories,Chargers,Nitecore D2
Nitecore D4 Universal Charger,23.99,27.99,New,Accessories,Chargers,Nitecore D4
Nitecore I2 Universal Charger,13.95,15.99,New,Accessories,Chargers,Nitecore I2
Nitecore I4 Universal Charger,17.5,20.99,New,Accessories,Chargers,Nitecore I4
Nitecore UM10 USB Management and Charging System,9.95,11.99,New,Accessories,Chargers,Nitecore UM10
NOTORIOUS MOD CLONE 26650 KIT WITH RDA AND DRIP TIP,29.9,34.99,New,Tanks & Coils,Rebuildable Atomizers (100),NOTORIOUS Clone Kit
Opal,6,6.99,New,E-Liquids,TVS-Premium Flavours,GemStone Juice Opal
Peanut Butter & Jesus,6,6.99,,,,Peanut Butter & Jesus
Pirates Booty,5.75,6.99,,,,Pirates Booty
Plush,6,6.99,,,,Classified Plush E-liquid
Port Royal,5.75,6.99,,,,Port Royal
,,,,,,
RN4072 DSE901 E-Cigarette starting kit,21,24.99,New,,,RN4072 DSE901 E-Cigarette starting kit
RN4075 Dse801 Cartridges,3,3.99,New,,,RN4075 Dse801 Cartridges
"RN4075, Dse801 E-Cigarette starting kit",22,25.99,New,,,"RN4075, Dse801"
Samsung INR18650-25R 2500mAh 35Amps,7.95,9.99,New,Accessories,IMR Batteries & Battery Cases,Samsung 35Amps
Siren,11,12.99,,,,Siren
Slam Berry,6,6.99,,,,Slam Berry
Small Clear Eliquid Display Stand 5-tier Rack Organizer,39.95,45.99,New,Accessories,Tools,Small Eliquid Display
SMOKTech Pyrex RSST Rebuildable Genesis Style,13,14.99,New,Tanks & Coils,Rebuildable Atomizers,Pyrex RSST
Sony VTC5 30A 2600mah 18650 Battery,11.95,13.99,New,Accessories,IMR Batteries & Battery Cases,Sony VTC5
Stillare RDA V2 Clone,11.5,13.99,New,Devices,Mechanical Mods,Stillare V2
Streak,11,12.99,,,,Streak
Sub-Ohm FireBird 60W By Eternity MODS,24.95,28.99,New,,,FireBird 60W
Sugar and Knife,6,6.99,,,,Sugar and Knife
Sweet Honey,11,12.99,,,,The Hive Sweet Honey
TESLA 160W TEMPERATURE CONTROL TC WOOD BOX MOD,59.95,68.99,New,Devices,Variable Voltage/Wattage Mods,TESLA 160W
Tesla One 1800 mAh Sub Ohm Battery Mod 40A,16.95,19.99,New,Devices,Constant Voltage Mods & eGo Batteries (39),Tesla One 1800
Tesla Two Box Mod 4000mAh Internal 40A ,23.5,26.99,New,Devices,Variable Voltage/Wattage Mods,Tesla Two
Tesla Vortek Sub Ohm Tank N200 Temperature Control,15.95,18.99,New,,,Tesla Vortek
The DownSide,5.5,6.99,New,E-Liquids,TVS-Premium Flavours,The Schwartz The DownSide
The UpSide,5.5,6.99,New,E-Liquids,TVS-Premium Flavours,The UpSide
Topaz,6,6.99,New,E-Liquids,TVS-Premium Flavours,GemStone Juice Topaz
Tugboat V2 RDA Rebuildable Atty By Eternity,12.95,14.99,New,,,Tugboat V2
Uno ProTank Kit Single Edition In 6 Colors,6.99,7.99,New,,,Uno ProTank Kit
UnoVapor 3 in 1 Kit Wax Herb Oil,13.95,15.99,New,,,UnoVapor 3 in 1 Kit
UnoVapor EVOD Starter kit with BCC NEW,15.95,18.99,New,Tanks & Coils,Clearomizer,UnoVapor Evod
UnoVapor Protank Twist Kit 1300mAh In 5 Colors,12.95,14.99,New,,,PTTwist Kit 1300mAh
V V Passthrough Battery 3.0V 3.6V 4.2V And 4.8v,6.75,7.99,New,Devices,Variable Voltage/Wattage eGo Batteries,Eg VV Passthrough
Variable Voltage EGO VV EGO-U 900mah battery,10.95,12.99,New,Devices,Variable Voltage/Wattage eGo Batteries,EGO-U 900mah
Vision Mini Spinner II 5 Colors 850mAh,18.95,21.99,New,Devices,Variable Voltage/Wattage Mods,Vision Spinner 2 Mini
WaxVapor Essential Oil Atomizer,7.45,8.99,New,Tanks & Coils,Rebuildable Atomizers,WaxVapor
WaxVapor Kit 900mAh For Essential Oil,11.5,13.99,New,Devices,Variable Voltage/Wattage Mods,WaxVapor Oil
ZNA 50 Watt Mod,39.95,45.99,New,Devices,Variable Voltage/Wattage Mods,Cloupor ZNA 50W
